Stock,Date,Open,High,Low,Close,Adj Close,Volume
INFY,2020-01-01 00:00:00+00:00,735.00,740.00,732.55,736.85,661.21,"21,12,415.00"
INFY,2020-01-02 00:00:00+00:00,738.90,740.80,730.90,734.70,659.28,"56,58,200.00"
INFY,2020-01-03 00:00:00+00:00,733.90,748.00,733.90,746.00,669.42,"78,82,938.00"
INFY,2020-01-06 00:00:00+00:00,746.10,753.80,736.50,738.85,663.00,"65,19,403.00"
INFY,2020-01-07 00:00:00+00:00,738.00,742.60,725.10,727.90,653.17,"78,99,363.00"
INFY,2020-01-08 00:00:00+00:00,724.95,729.00,708.30,718.20,644.47,"86,39,443.00"
INFY,2020-01-09 00:00:00+00:00,721.70,731.50,714.30,727.55,652.86,"1,35,21,186.00"
INFY,2020-01-10 00:00:00+00:00,740.45,742.90,730.50,738.15,662.37,"93,41,405.00"
INFY,2020-01-13 00:00:00+00:00,760.00,777.50,755.00,773.55,694.14,"3,69,52,038.00"
INFY,2020-01-14 00:00:00+00:00,769.95,776.95,767.20,775.65,696.02,"1,14,14,418.00"
INFY,2020-01-15 00:00:00+00:00,773.85,773.85,762.15,767.55,688.75,"60,47,430.00"
INFY,2020-01-16 00:00:00+00:00,770.70,772.50,760.25,767.00,688.26,"57,40,586.00"
INFY,2020-01-17 00:00:00+00:00,770.70,772.90,762.25,767.85,689.02,"37,62,957.00"
INFY,2020-01-20 00:00:00+00:00,771.60,774.40,762.95,768.45,689.56,"38,87,680.00"
INFY,2020-01-21 00:00:00+00:00,768.45,770.50,760.75,762.50,684.22,"44,48,374.00"
INFY,2020-01-22 00:00:00+00:00,768.45,778.00,766.00,770.20,691.13,"97,33,935.00"
INFY,2020-01-23 00:00:00+00:00,777.10,785.50,776.70,784.35,703.83,"1,25,28,017.00"
INFY,2020-01-24 00:00:00+00:00,775.75,786.50,773.60,782.75,702.39,"75,40,490.00"
INFY,2020-01-27 00:00:00+00:00,779.05,784.80,774.40,778.10,698.22,"37,41,610.00"
INFY,2020-01-28 00:00:00+00:00,781.00,781.80,772.00,778.00,698.13,"51,21,009.00"
INFY,2020-01-29 00:00:00+00:00,786.60,792.80,784.25,789.70,708.63,"68,32,757.00"
INFY,2020-01-30 00:00:00+00:00,789.70,789.70,778.00,780.70,700.55,"38,59,680.00"
INFY,2020-01-31 00:00:00+00:00,780.55,784.95,771.60,775.95,696.29,"60,92,028.00"
INFY,2020-02-03 00:00:00+00:00,782.00,790.95,764.50,767.40,688.62,"64,16,745.00"
INFY,2020-02-04 00:00:00+00:00,770.10,789.90,770.10,787.85,706.97,"57,71,311.00"
INFY,2020-02-05 00:00:00+00:00,781.00,786.00,774.40,784.55,704.01,"63,10,409.00"
INFY,2020-02-06 00:00:00+00:00,784.35,786.80,770.00,771.35,692.16,"73,41,622.00"
INFY,2020-02-07 00:00:00+00:00,775.95,778.85,771.00,777.30,697.50,"28,53,344.00"
INFY,2020-02-10 00:00:00+00:00,774.00,778.00,769.75,773.20,693.82,"38,27,682.00"
INFY,2020-02-11 00:00:00+00:00,779.00,779.10,769.20,773.55,694.14,"43,12,817.00"
INFY,2020-02-12 00:00:00+00:00,775.80,783.25,775.10,781.05,700.87,"29,48,825.00"
INFY,2020-02-13 00:00:00+00:00,785.00,794.00,782.20,792.25,710.92,"43,87,430.00"
INFY,2020-02-14 00:00:00+00:00,794.50,799.20,784.60,786.45,705.71,"53,21,680.00"
INFY,2020-02-17 00:00:00+00:00,790.30,793.45,783.30,789.45,708.41,"29,29,629.00"
INFY,2020-02-18 00:00:00+00:00,785.00,799.05,783.65,797.65,715.76,"50,83,346.00"
INFY,2020-02-19 00:00:00+00:00,800.00,804.85,796.15,800.45,718.28,"39,85,192.00"
INFY,2020-02-20 00:00:00+00:00,803.25,806.10,793.85,797.00,715.18,"45,64,569.00"
INFY,2020-02-24 00:00:00+00:00,800.10,811.60,792.15,795.85,714.15,"66,27,536.00"
INFY,2020-02-25 00:00:00+00:00,799.00,806.00,795.40,798.40,716.44,"69,96,695.00"
INFY,2020-02-26 00:00:00+00:00,793.95,801.45,780.50,782.75,702.39,"87,60,569.00"
INFY,2020-02-27 00:00:00+00:00,778.00,780.75,772.20,777.85,698.00,"52,23,386.00"
INFY,2020-02-28 00:00:00+00:00,750.00,756.80,722.05,731.70,656.58,"1,41,23,957.00"
INFY,2020-03-02 00:00:00+00:00,737.00,765.90,733.75,741.05,664.97,"98,21,523.00"
INFY,2020-03-03 00:00:00+00:00,755.00,759.00,741.25,747.00,670.31,"78,26,587.00"
INFY,2020-03-04 00:00:00+00:00,753.90,761.50,745.55,758.75,680.86,"1,10,13,444.00"
INFY,2020-03-05 00:00:00+00:00,763.75,773.55,751.75,754.60,677.13,"77,55,293.00"
INFY,2020-03-06 00:00:00+00:00,741.00,744.00,729.10,738.95,663.09,"92,16,022.00"
INFY,2020-03-09 00:00:00+00:00,724.50,725.85,697.00,704.45,632.13,"1,03,08,654.00"
INFY,2020-03-11 00:00:00+00:00,690.65,695.95,669.05,686.00,615.58,"1,61,65,009.00"
INFY,2020-03-12 00:00:00+00:00,668.00,670.00,627.50,631.20,566.40,"1,39,65,574.00"
INFY,2020-03-13 00:00:00+00:00,592.00,667.00,570.00,642.35,576.41,"1,69,03,113.00"
INFY,2020-03-16 00:00:00+00:00,622.00,622.15,580.00,583.15,523.28,"1,91,40,152.00"
INFY,2020-03-17 00:00:00+00:00,588.10,592.00,550.00,554.95,497.98,"1,60,59,887.00"
INFY,2020-03-18 00:00:00+00:00,568.00,578.00,528.00,534.30,479.45,"1,53,90,183.00"
INFY,2020-03-19 00:00:00+00:00,509.25,558.00,509.25,545.55,489.54,"1,65,83,991.00"
INFY,2020-03-20 00:00:00+00:00,549.50,617.45,548.00,585.20,525.12,"2,13,54,894.00"
INFY,2020-03-23 00:00:00+00:00,540.00,560.95,515.90,526.45,472.40,"1,71,46,150.00"
INFY,2020-03-24 00:00:00+00:00,522.00,601.15,522.00,589.80,529.25,"2,00,27,097.00"
INFY,2020-03-25 00:00:00+00:00,597.00,635.00,565.70,606.20,543.97,"1,83,39,548.00"
INFY,2020-03-26 00:00:00+00:00,615.00,650.85,612.10,643.00,576.99,"1,48,43,813.00"
INFY,2020-03-27 00:00:00+00:00,665.05,674.90,642.25,652.70,585.69,"1,34,95,283.00"
INFY,2020-03-30 00:00:00+00:00,625.10,663.50,621.10,626.70,562.36,"1,46,24,804.00"
INFY,2020-03-31 00:00:00+00:00,650.00,662.00,633.70,641.50,575.64,"1,51,75,521.00"
INFY,2020-04-01 00:00:00+00:00,634.35,637.50,594.00,602.80,540.92,"1,30,83,824.00"
INFY,2020-04-03 00:00:00+00:00,603.50,606.00,582.15,585.70,525.57,"1,02,21,655.00"
INFY,2020-04-07 00:00:00+00:00,615.00,644.25,612.90,639.00,573.40,"1,51,45,605.00"
INFY,2020-04-08 00:00:00+00:00,630.00,655.65,626.35,631.60,566.76,"1,18,06,896.00"
INFY,2020-04-09 00:00:00+00:00,646.80,652.80,632.10,636.25,570.93,"1,19,31,114.00"
INFY,2020-04-13 00:00:00+00:00,629.00,651.70,626.05,637.40,571.96,"83,30,276.00"
INFY,2020-04-15 00:00:00+00:00,651.40,653.30,635.60,639.05,573.45,"1,19,63,447.00"
INFY,2020-04-16 00:00:00+00:00,619.95,634.90,603.50,623.85,559.81,"1,77,83,287.00"
INFY,2020-04-17 00:00:00+00:00,644.00,646.00,626.00,628.75,564.20,"88,78,320.00"
INFY,2020-04-20 00:00:00+00:00,640.00,661.00,639.00,653.30,586.23,"1,33,22,913.00"
INFY,2020-04-21 00:00:00+00:00,627.80,646.50,627.80,633.20,568.20,"1,16,60,575.00"
INFY,2020-04-22 00:00:00+00:00,633.20,645.00,628.05,641.85,575.96,"82,66,728.00"
INFY,2020-04-23 00:00:00+00:00,647.05,683.65,638.10,679.30,609.56,"1,44,51,289.00"
INFY,2020-04-24 00:00:00+00:00,668.55,675.00,654.80,658.00,590.45,"73,19,940.00"
INFY,2020-04-27 00:00:00+00:00,661.05,681.00,661.05,664.60,596.37,"71,83,306.00"
INFY,2020-04-28 00:00:00+00:00,673.00,677.00,653.05,660.70,592.87,"72,96,571.00"
INFY,2020-04-29 00:00:00+00:00,666.00,682.00,658.00,676.55,607.10,"86,39,056.00"
INFY,2020-04-30 00:00:00+00:00,700.00,720.00,698.10,715.50,642.05,"1,62,53,821.00"
INFY,2020-05-04 00:00:00+00:00,689.80,701.20,670.35,673.70,604.54,"91,22,740.00"
INFY,2020-05-05 00:00:00+00:00,681.75,685.60,670.00,673.70,604.54,"63,93,053.00"
INFY,2020-05-06 00:00:00+00:00,676.90,681.45,664.05,665.90,597.54,"79,34,250.00"
INFY,2020-05-07 00:00:00+00:00,665.55,674.35,662.45,664.95,596.69,"47,79,548.00"
INFY,2020-05-08 00:00:00+00:00,672.25,680.90,668.50,674.20,604.99,"84,00,321.00"
INFY,2020-05-11 00:00:00+00:00,682.50,698.55,678.00,682.90,612.79,"73,70,186.00"
INFY,2020-05-12 00:00:00+00:00,678.50,691.00,675.50,687.65,617.06,"73,56,039.00"
INFY,2020-05-13 00:00:00+00:00,694.80,699.90,683.75,694.15,622.89,"82,87,101.00"
INFY,2020-05-14 00:00:00+00:00,659.00,671.75,652.60,658.15,590.58,"1,68,88,262.00"
INFY,2020-05-15 00:00:00+00:00,664.80,664.80,646.70,652.30,585.34,"92,55,353.00"
INFY,2020-05-18 00:00:00+00:00,659.85,670.55,653.00,663.90,595.74,"1,04,35,442.00"
INFY,2020-05-19 00:00:00+00:00,664.00,674.80,655.00,668.60,599.96,"59,02,208.00"
INFY,2020-05-20 00:00:00+00:00,668.50,673.00,659.65,669.55,600.81,"57,94,636.00"
INFY,2020-05-21 00:00:00+00:00,666.50,679.45,665.40,672.20,603.19,"72,13,225.00"
INFY,2020-05-22 00:00:00+00:00,675.00,695.85,673.50,692.35,621.27,"1,18,67,731.00"
INFY,2020-05-26 00:00:00+00:00,693.00,699.45,679.00,680.55,610.68,"70,99,606.00"
INFY,2020-05-27 00:00:00+00:00,686.05,709.20,675.00,705.45,633.03,"87,74,636.00"
INFY,2020-05-28 00:00:00+00:00,707.00,710.00,690.00,707.40,634.78,"94,40,091.00"
INFY,2020-05-29 00:00:00+00:00,692.50,700.80,674.95,691.00,628.50,"2,82,90,128.00"
INFY,2020-06-01 00:00:00+00:00,698.75,706.65,691.50,699.55,636.28,"1,22,76,438.00"
INFY,2020-06-02 00:00:00+00:00,700.50,711.65,697.55,708.10,644.06,"70,59,304.00"
INFY,2020-06-03 00:00:00+00:00,710.70,711.90,696.00,701.55,638.10,"1,13,78,568.00"
INFY,2020-06-04 00:00:00+00:00,702.00,709.45,697.50,707.75,643.74,"1,07,82,424.00"
INFY,2020-06-05 00:00:00+00:00,707.00,711.70,700.60,703.55,639.92,"77,18,679.00"
INFY,2020-06-08 00:00:00+00:00,707.65,725.80,704.00,720.85,655.65,"1,07,19,105.00"
INFY,2020-06-09 00:00:00+00:00,720.00,729.60,715.05,717.60,652.70,"1,00,78,029.00"
INFY,2020-06-10 00:00:00+00:00,715.00,719.45,709.20,715.85,651.10,"72,63,049.00"
INFY,2020-06-11 00:00:00+00:00,712.00,713.40,700.25,703.95,640.28,"88,25,715.00"
INFY,2020-06-12 00:00:00+00:00,675.80,695.15,675.50,692.05,629.46,"97,95,316.00"
INFY,2020-06-15 00:00:00+00:00,693.00,704.40,685.25,687.55,625.36,"78,57,344.00"
INFY,2020-06-16 00:00:00+00:00,702.00,712.00,699.15,701.20,637.78,"1,01,31,760.00"
INFY,2020-06-17 00:00:00+00:00,699.90,710.30,698.00,703.65,640.01,"72,91,916.00"
INFY,2020-06-18 00:00:00+00:00,708.20,716.60,706.00,713.90,649.33,"66,70,195.00"
INFY,2020-06-19 00:00:00+00:00,709.00,711.90,701.00,705.55,641.74,"2,24,38,862.00"
INFY,2020-06-22 00:00:00+00:00,707.10,708.70,700.00,703.70,640.05,"78,04,096.00"
INFY,2020-06-23 00:00:00+00:00,695.70,724.50,692.10,720.65,655.47,"1,21,57,390.00"
INFY,2020-06-24 00:00:00+00:00,716.90,726.80,709.40,714.15,649.56,"1,02,20,838.00"
INFY,2020-06-25 00:00:00+00:00,704.85,705.60,693.50,700.50,637.14,"1,49,45,284.00"
INFY,2020-06-26 00:00:00+00:00,710.20,751.60,710.00,748.20,680.53,"2,60,30,458.00"
INFY,2020-06-29 00:00:00+00:00,735.40,744.70,730.10,731.75,665.57,"89,54,428.00"
INFY,2020-06-30 00:00:00+00:00,732.80,738.95,724.25,735.95,669.39,"1,04,11,290.00"
INFY,2020-07-01 00:00:00+00:00,737.25,742.30,729.75,731.90,665.70,"54,77,468.00"
INFY,2020-07-02 00:00:00+00:00,737.35,765.45,735.40,756.60,688.17,"1,72,63,756.00"
INFY,2020-07-03 00:00:00+00:00,755.00,764.00,752.50,762.70,693.72,"77,96,572.00"
INFY,2020-07-06 00:00:00+00:00,765.20,775.00,761.50,764.00,694.90,"88,10,958.00"
INFY,2020-07-07 00:00:00+00:00,769.40,796.95,765.55,794.15,722.32,"1,93,62,533.00"
INFY,2020-07-08 00:00:00+00:00,784.90,784.90,772.20,774.70,704.63,"84,76,642.00"
INFY,2020-07-09 00:00:00+00:00,780.00,790.00,775.00,781.70,711.00,"68,54,166.00"
INFY,2020-07-10 00:00:00+00:00,773.50,789.90,773.50,781.85,711.14,"52,06,452.00"
INFY,2020-07-13 00:00:00+00:00,788.00,805.35,786.05,797.05,724.96,"1,08,04,688.00"
INFY,2020-07-14 00:00:00+00:00,792.95,806.40,781.35,783.25,712.41,"89,61,822.00"
INFY,2020-07-15 00:00:00+00:00,799.00,848.45,794.80,830.95,755.79,"3,00,60,599.00"
INFY,2020-07-16 00:00:00+00:00,900.10,955.50,894.25,911.00,828.60,"9,04,32,109.00"
INFY,2020-07-17 00:00:00+00:00,911.00,919.90,892.15,903.15,821.46,"3,16,82,878.00"
INFY,2020-07-20 00:00:00+00:00,908.50,945.00,906.75,934.30,849.80,"1,84,21,053.00"
